City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,276.81,91,99,16.27,TF,1694713520
1,blackmans bay,-43.0167,147.3167,288.22,62,100,3.89,AU,1694713517
2,chinde,26.8418,88.0763,292.02,91,45,1.84,NP,1694714114
3,new norfolk,-42.7826,147.0587,288.87,68,100,1.11,AU,1694713568
4,aasiaat,68.7098,-52.8699,274.75,92,95,2.37,GL,1694713543
5,waitangi,-43.9535,-176.5597,285.83,90,64,2.68,NZ,1694713515
6,edinburgh of the seven seas,-37.0676,-12.3116,284.68,69,53,7.37,SH,1694713525
7,college,64.8569,-147.8028,284.15,76,75,2.06,US,1694713517
8,whitehorse,60.7161,-135.0538,282.58,66,100,6.17,CA,1694713527
9,mongo,12.1844,18.693,299.4,78,71,0.66,TD,1694714115
10,hawaiian paradise park,19.5933,-154.9731,297.54,100,100,1.54,US,1694713516
11,igarka,67.4667,86.5833,285.71,74,58,5.99,RU,1694714115
12,wailua homesteads,22.0669,-159.378,296.59,90,40,6.69,US,1694713519
13,villamontes,-21.25,-63.5,298.84,34,12,0.0,BO,1694714115
14,arkhangel'sk,64.5401,40.5433,289.3,74,99,5.01,RU,1694713581
15,aflao,6.116,1.1914,298.86,84,59,5.24,TG,1694714115
16,iskateley,67.6803,53.1512,280.05,94,100,5.25,RU,1694713541
17,bredasdorp,-34.5322,20.0403,284.87,74,100,2.9,ZA,1694713522
18,badger,64.8,-147.5333,284.1,74,75,2.06,US,1694713568
19,natal,-5.795,-35.2094,300.51,89,75,7.2,BR,1694714050
20,ushuaia,-54.8,-68.3,277.96,60,20,3.6,AR,1694713281
21,meadow lake,34.8014,-106.5436,296.39,52,6,2.68,US,1694714116
22,minas de marcona,-15.2119,-75.1103,290.01,64,76,7.39,PE,1694714116
23,west island,-12.1568,96.8225,298.14,73,40,4.63,CC,1694713526
24,mandalgovi,45.7625,106.2708,280.3,84,49,6.26,MN,1694714117
25,puerto ayora,-0.7393,-90.3518,300.13,86,71,5.36,EC,1694713520
